A27,A24,A42,A41,A26,A22,A13,A16,A46,A15,A23,A39,A19,A35,A6,A45,A12,A25,A18,A38,A11,A14,A7,A1,A51,Bankrupt,Bankruptcy_Probability,Risk_Level
35.457,0.1551,0.28714,0.025879,1.0603,0.35928,0.30276,1.295,2.0125,281.85,0.23389,0.28692,0.28876,0.359,0.0,3.5879,1.3932,0.61961,0.36131,0.70748,0.37144,0.36131,0.36131,0.29264,0.25934,0.0,0.022223435265579027,Low Risk
0.51182,0.2369,0.048485,0.059204,0.53479,0.084917,0.067313,0.49189,1.169,742.04,0.045676,0.048485,0.039805,0.084917,0.20743,0.28127,0.31987,0.61034,0.069715,0.63206,0.069715,0.069715,0.069715,0.079997,0.21795,0.0,0.00175,Low Risk
102.63,0.1551,0.15335,0.075779,0.35465,0.25951,0.15635,0.43921,1.6867,831.04,0.12301,0.18242,0.15311,0.3087,0.0,1.0288,0.6423,0.29164,0.25911,0.3976,0.26164,0.25911,0.25911,0.20817,0.40341,0.0,0.11412026813880433,Low Risk
3.5033,0.69419,0.26072,0.013675,2.0724,0.31094,0.29742,2.4773,4.303,147.34,0.2209,0.26072,0.26951,0.31094,0.55971,1.7956,2.2448,0.8394,0.32142,0.8394,0.32142,0.32142,0.32142,0.26345,0.14318,0.0,0.0,
-0.76829,-0.054623,-0.083238,-1.2558,-0.017279,-0.062889,-0.021237,-0.017279,0.60056,-21123.0,-0.072298,-0.083238,-0.072298,-0.062889,-0.054623,-0.3402,-0.11637,0.069453,-0.054623,0.52863,-0.054623,-0.054623,-0.054623,-0.054623,0.46939,0.0,0.18627959961352292,Low Risk
-1.1648,-0.82224,-0.11989,-0.26764,-0.27255,-0.1916,-0.19052,-0.27255,0.25521,-1339.2,-0.22455,-0.11989,-0.22455,-0.1916,-1.1752,-2.0159,-0.41514,-0.12518,-0.35884,0.12756,-0.35884,-0.35884,-0.35884,-0.35884,0.86437,0.0,0.2082880185294569,Low Risk
0.91705,0.27078,0.08487,0.057078,0.46954,0.13335,0.10245,0.55517,1.0056,657.45,0.065225,0.08487,0.081028,0.13335,0.22034,1.3507,0.4909,0.60739,0.12731,0.63799,0.12731,0.12731,0.12731,0.10248,0.25934,0.0,0.00022349570200573066,Low Risk
0.49454,0.36762,0.047064,0.19135,0.19844,0.12079,0.058424,0.19844,0.86058,1839.4,0.054902,0.047064,0.054902,0.12079,0.36762,0.34132,0.26562,0.2444,0.1409,0.46952,0.1409,0.1409,0.1409,0.1409,0.53048,0.0,0.016539094529021706,Low Risk
0.1558,0.1551,0.017784,0.97951,0.023417,0.017641,0.020264,0.02557,0.55849,14275.0,0.009373,0.019493,0.011079,0.019335,-0.017464,0.029159,0.020155,0.11239,0.01099,0.42922,0.12421,0.01099,0.01099,0.009297,0.54525,0.0,0.3377842951636583,Medium Risk
-0.047783,0.056723,-0.004822,0.43228,0.092145,-0.007323,0.033226,0.095012,0.541,3841.6,0.000805,-0.004822,0.001807,-0.007323,0.042436,0.003291,0.007405,0.46393,0.002745,0.62437,0.002745,0.002745,0.002745,0.001222,0.37064,0.0,0.026831721352436562,Low Risk
-0.073544,0.083487,-0.007406,3.0806,0.05244,-0.018598,0.015526,0.05141,0.36138,7099.8,0.005208,-0.007406,0.004897,-0.018598,0.069955,0.038276,0.019544,0.22721,0.012298,0.35639,0.012298,0.012298,0.012298,0.013079,0.62923,0.0,0.09684078593911401,Low Risk
0.72869,0.37667,0.067762,0.14571,0.21907,0.10364,0.094556,0.25189,1.1804,1449.1,0.065299,0.067762,0.077616,0.10364,0.30824,1.3202,0.21423,0.3956,0.11871,0.41561,0.11871,0.11871,0.11871,0.099873,0.55414,0.0,0.001,Low Risk
15.684,0.1551,0.22692,0.027472,0.99045,0.37113,0.24433,1.1748,3.3001,310.7,0.18056,0.19584,0.21889,0.32029,0.0,2.492,1.5547,0.65053,0.35799,0.65984,0.38165,0.35799,0.35799,0.2953,0.23026,0.0,0.035724894998237756,Low Risk
4.6537,0.1551,0.05066,0.057481,0.50708,0.15501,0.069518,0.50708,1.2899,719.81,0.040676,0.046639,0.040676,0.14271,0.017406,0.39321,0.2967,0.14187,0.12446,0.58051,0.15777,0.12446,0.12446,0.12446,0.41949,0.0,0.07171464534866413,Low Risk
2.0366,0.7494,0.16876,0.019131,1.3881,0.26083,0.19007,1.6723,2.731,218.26,0.13122,0.16876,0.16352,0.26083,0.60033,0.78048,1.4386,0.80429,0.25271,0.80429,0.25271,0.25271,0.25271,0.20279,0.17566,0.0,0.002286150047207495,Low Risk
1.4835,0.51315,0.12958,0.021601,1.218,0.17723,0.15434,1.4466,2.4829,252.32,0.097151,0.12958,0.12154,0.17723,0.41226,0.42019,1.1392,0.81107,0.16623,0.81107,0.16623,0.16623,0.16623,0.13287,0.14592,0.0,0.0009994724347137957,Low Risk
1.1718,-0.19522,0.10659,0.054815,0.571,0.01438,0.37445,0.571,1.2884,639.23,0.087712,0.10659,0.087712,0.01438,-0.19522,0.282825,0.13375,0.91152,0.011834,0.91152,0.011834,0.011834,0.011834,0.011834,0.088476,0.0,0.12371304951529068,Low Risk
0.26381,0.23448,0.02581,0.14601,0.14382,0.097408,0.027414,0.16509,0.28006,2211.0,0.012301,0.02581,0.015834,0.097408,0.18433,0.088244,0.095349,0.33098,0.059757,0.33098,0.059757,0.059757,0.059757,0.046426,0.62672,0.0,0.014711059511523909,Low Risk
0.75545,0.03543,0.070389,0.080611,0.34741,0.048431,0.13633,0.39012,0.51256,935.61,0.049271,0.070389,0.064195,0.048431,0.026188,5.3373,0.22485,0.58716,0.044169,0.63116,0.044169,0.044169,0.044169,0.033901,0.19644,0.0,0.012458270881531206,Low Risk
-0.27644,-0.28903,-0.028402,-0.9616,-0.048749,-0.067427,-0.018603,-0.048749,0.73064,-7487.4,-0.033958,-0.028402,-0.033958,-0.067427,-0.28903,-0.55171,-0.088985,0.079467,-0.080617,0.079467,-0.080617,-0.080617,-0.080617,-0.080617,0.90597,0.0,0.04155003489679333,Low Risk
0.0,0.1551,0.0,0.039824,0.91215,0.0,0.30196,0.91215,0.63499,400.15,0.024873,0.016627,0.024873,0.024568,0.0,0.091358,0.080598,0.46158,0.036752,0.51084,0.054366,0.036752,0.036752,0.036752,0.45599,0.0,0.002418803418803419,Low Risk
-0.45668,0.1551,-0.005239,1.0004,0.035001,-0.012187,0.015262,0.036529,0.59947,9992.1,-0.004537,-0.000744,-0.003898,-0.001732,-0.004201,-0.051757,-0.00999,-0.014755,-0.009069,0.074982,0.017617,-0.009069,-0.009069,-0.010554,0.90779,0.0,0.09813445094419056,Low Risk
-0.58934,-0.081668,-0.063525,-1.5488,-0.035478,-0.067079,-0.034396,-0.035478,0.40271,-10288.0,-0.077341,-0.063525,-0.077341,-0.067079,-0.081668,-0.17828,-0.1216,-0.039925,-0.081668,0.31221,-0.081668,-0.081668,-0.081668,-0.081668,0.67159,0.0,0.1566993577620214,Low Risk
-98.251,0.1551,-0.059439,-1.5753,-0.016831,-0.07281,-0.007842,-0.010216,0.52571,-26329.16,-0.056116,-0.065812,-0.051038,-0.080616,-0.1229,-0.37267,-0.067341,0.055828,-0.062519,0.059695,-0.061778,-0.062519,-0.062519,-0.068739,0.9284,0.0,0.14785531011510833,Low Risk
-0.62773,-0.35737,-0.067424,-0.096672,-0.31451,-0.2414,-0.052223,-0.33438,1.0365,-1091.6,-0.063429,-0.067424,-0.066534,-0.2414,-0.3787,-1.5026,-0.42602,0.14812,-0.23821,0.14812,-0.23821,-0.23821,-0.23821,-0.2271,0.55916,0.0,0.14163119888517633,Low Risk
1.3226,0.68577,0.11696,0.070309,0.35235,0.23694,0.12344,0.44405,1.0363,821.97,0.08492,0.11696,0.11041,0.23694,0.54039,0.59716,0.40125,0.41366,0.22368,0.41935,0.22368,0.22368,0.22368,0.17203,0.55746,0.0,0.011956862790588437,Low Risk
-0.47547,0.010629,-0.048774,0.048809,0.64458,-0.041389,0.068465,0.72164,7.4016,505.79,-0.051525,-0.048774,-0.044214,-0.041389,-0.021103,-0.43419,-0.46603,0.89008,-0.037519,0.89008,-0.037519,-0.037519,-0.037519,-0.043723,0.080508,0.0,0.07519455947068829,Low Risk
1.638,0.1551,0.030224,0.30325,0.071853,0.044522,0.039052,0.07465,0.62652,4889.5,0.010309,0.030027,0.011773,0.044232,0.0,0.16357,0.023331,0.057476,0.017342,0.22938,0.044523,0.017342,0.017342,0.015187,0.7433,0.0,0.08502354795585897,Low Risk
0.1071,0.053671,0.0102,2.4944,0.001161,0.004289,0.005836,0.004884,1.0221,37395.11999999996,-0.004161,0.0102,0.000288,0.004289,0.031605,-1.968,0.000241,0.49535,0.000121,0.49669,0.000121,0.000121,0.000121,-0.00175,0.50112,0.0,0.038799794263529704,Low Risk
1.0841,0.1551,0.0,5.927,2.4269,0.0,0.31428,2.4269,1.0676,150.4,0.31355,0.050418,0.31355,0.19771,0.0,12.033,2.4213,0.9444935999999998,0.69263,0.49219,0.7241655999999999,0.6911963999999999,0.6911963999999999,0.6059115999999999,0.50782,0.0,0.07569278579009113,Low Risk
1.0303,0.28439,0.094728,0.092276,0.30594,0.17353,0.09999,0.36307,1.7676,1005.3,0.080863,0.094728,0.096598,0.17353,0.19262,1.3053,0.49291,0.49499,0.17695,0.64049,0.17695,0.17695,0.17695,0.14813,0.35899,0.0,0.007694546925928907,Low Risk
0.93616,0.26635,0.090151,0.039256,0.73659,0.24265,0.10215,0.86103,1.7381,423.91,0.07818,0.090151,0.092942,0.24265,0.22662,3.1793,0.82549,0.58916,0.25016,0.60542,0.25016,0.25016,0.25016,0.21043,0.30305,0.0,0.04808495571082818,Low Risk
2.5759,0.31098,0.23181,0.05895,0.42031,0.26231,0.23361,0.53454,1.289,682.83,0.17176,0.23181,0.22169,0.26231,0.23399,13.185,0.57608,0.50547,0.25086,0.56455,0.25086,0.25086,0.25086,0.19437,0.43545,0.0,0.043839903520496264,Low Risk
0.41894,0.14223,0.040654,0.12731,0.27723,0.053205,0.067834,0.35176,2.7656,1037.6,0.044314,0.040654,0.058688,0.053205,0.12024,1.5616,0.30434,0.67506,0.076807,0.67506,0.076807,0.076807,0.076807,0.057995,0.25237,0.0,0.0019047619047619048,Low Risk
0.0,0.1551,0.0,0.030985,2.2131,0.0,0.34669,2.2131,2.5136,164.93,0.17816,0.006426,0.17816,0.011732,0.0,1.7086,1.2705,0.68304,0.32528,0.71399,0.32709,0.32528,0.32528,0.32528,0.25603,0.0,0.001625,Low Risk
4.3077,0.1551,0.038912,0.1736,-0.1609,0.12913,0.051598,0.17211,0.36576,2120.7,-0.066888,-0.024,0.032947,-0.079645,0.0,-0.63941,0.1099,-0.14403,0.10934,0.005138,0.13931,0.10934,0.10934,-0.22197,0.99486,0.0,0.25887106362752516,Low Risk
-14.02,0.1551,-0.16572,-0.29668,-0.078752,-0.091725,-0.10395,-0.11054,1.9149,-3301.8,-0.13412,-0.21497,-0.16402,-0.11899,0.039844,-1.1966,-0.43055,-0.035421,-0.090783,0.49332,-0.084241,-0.090783,-0.090783,-0.074235,0.21085,0.0,0.22016558456986693,Low Risk
2.5181,0.5701,0.20136,0.014868,1.8449,0.17858,0.23715,2.2309,5.2303,163.61,0.16241,0.20136,0.20345,0.17858,0.45851,0.80192,1.914,0.90573,0.18043,0.90573,0.18043,0.18043,0.18043,0.14403,0.09427,0.0,0.0036604308390022675,Low Risk
2.12,0.1551,0.032515,0.26931,0.069325,0.059819,0.035706,0.086581,0.56231,4215.7,0.010061,0.03816,0.017178,0.070203,-0.090519,0.090209,0.042553,-0.071783,0.031603,0.24153,0.059819,0.031603,0.031603,0.01851,0.74266,0.0,0.2092341442752541,Low Risk
0.0,0.1551,0.0,0.085515,0.90412,0.0,0.10925,0.90412,5.6713,403.71,0.10925,0.0,0.10925,0.0,0.0,1.7933,1.0914,0.83023,0.14088,0.87003,0.14324,0.14088,0.14088,0.14088,0.12908,0.0,0.0,
1.0841,0.1551,0.0,0.96347,-0.078097,0.0,-0.045847,-0.078097,0.28203,-4673.7,-0.066157,0.017013,-0.066157,0.026681,-0.44445,-0.33993,-0.11532,-0.54359,-0.10375,0.081386,-0.10375,-0.10375,-0.10375,-0.10375,0.89968,0.0,0.12833062967051878,Low Risk
1.2047,0.1551,0.019281,0.20707,0.13224,0.013242,0.065495,0.13224,1.8495,2760.1,0.005052,-0.009914,0.005052,-0.006809,2e-06,0.12522,0.025976,0.63898,0.003469,0.67717,0.014462,0.003469,0.003469,0.003469,0.13356,0.0,0.08063225631077245,Low Risk
3.8625,0.1551,0.051183,0.20289,0.11776,0.079339,0.065383,0.13661,0.38123,2671.8,0.02891,0.05246,0.037934,0.081318,0.0,0.11087,0.083888,0.12271,0.058801,0.29905,0.079342,0.058801,0.058801,0.044813,0.70095,0.0,0.20176329796034356,Low Risk
-3.5847,0.1551,-0.17755,-0.90164,-0.017449,-0.094253,-0.036873,-0.017449,0.80648,-20919.0,-0.1363,-0.34192,-0.1363,-0.18151,-0.32564,-0.61849,-0.099457,-0.2782,-0.072354,0.27032,-0.046061,-0.072354,-0.072354,-0.072354,0.72749,0.0,0.24973342952474226,Low Risk
17.324,0.1551,0.12726,0.043065,0.61626,0.24291,0.13864,0.74043,1.2816,492.96,0.097718,0.12634,0.12097,0.24116,0.0,0.49245,0.77652,0.37636,0.2309,0.69245,0.24492,0.2309,0.2309,0.18652,0.29736,0.0,0.0437459751331181,Low Risk
19.589,0.1551,0.25068,0.028364,1.1367,0.37195,0.2761,1.1367,1.5702,321.11,0.24133,0.24759,0.24133,0.36737,0.0,1.35,1.7902,0.35808,0.35808,0.79301,0.37707,0.35808,0.35808,0.35808,0.20002,0.0,0.014706465741289615,Low Risk
0.0,0.0,0.0,0.16252,0.34878,0.0,0.19326,0.34878,0.58138,1046.5,0.079615,0.007071,0.079615,0.010601,0.0,0.23613,0.16298,0.13899,0.11936,0.16925,0.14191,0.11936,0.11936,0.11936,0.73237,0.0,0.003051693404634581,Low Risk
0.58054,0.23996,0.054712,0.044496,0.59977,0.094205,0.077849,0.7043,1.6001,518.25,0.039336,0.054712,0.05089,0.094205,0.18519,0.46113,0.47002,0.75658,0.087624,0.76047,0.087624,0.087624,0.087624,0.06773,0.18643,0.0,0.0,
-0.38749,0.18554,-0.0395,-0.27558,-0.12647,-0.05221,-0.0434,-0.16378,2.3791,-2228.6,-0.041401,-0.0395,-0.051287,-0.05221,0.14666,-1.6916,-0.19355,0.214,-0.06779,0.214,-0.06779,-0.06779,-0.06779,-0.054723,0.35025,0.0,0.09233787838692248,Low Risk
0.70333,0.14072,0.06448,0.085381,0.33145,0.086115,0.11061,0.37176,0.77965,981.82,0.048529,0.06448,0.060523,0.086115,0.11789,0.21952,0.20691,0.48952,0.080831,0.49623,0.080831,0.080831,0.080831,0.064812,0.39066,0.0,0.005734432234432234,Low Risk
1.0744,0.10759,0.09737,0.18903,0.16136,0.040897,0.18897,0.17985,0.99818,2029.4,0.084169,0.09737,0.1036,0.040897,0.085219,0.78602,0.098605,0.55843,0.043515,0.55843,0.043515,0.043515,0.043515,0.035352,0.4413,0.0,0.057779459907300754,Low Risk
369.27,0.1551,0.034076,0.0,0.2217049999999999,0.6893111999999999,0.050754,0.245845,1.02665,0.0,-0.17898,0.036768,0.049075,0.6873499999999996,0.37417,-0.59939,0.17239,0.9444935999999998,0.69263,0.9843184,0.7241655999999999,0.6911963999999999,0.6911963999999999,-0.5767864,0.01154008,0.0,0.20342678305481957,Low Risk
67.879,0.1551,0.085805,0.073053,0.37529,0.29104,0.09741,0.45377,0.93198,804.38,0.068418,0.088577,0.085264,0.30045,0.0,0.94424,0.42598,0.23207,0.28921,0.27186,0.2935,0.28921,0.28921,0.23207,0.67893,0.0,0.06735485151793369,Low Risk
3.2168,0.0,0.13056,0.079197,0.31457,0.12487,0.14114,0.37636,2.399,969.81,0.090685,0.16169,0.11386,0.15464,0.08568,4.0597,0.39967,0.63107,0.1089,0.72754,0.14771,0.1089,0.1089,0.086734,0.27246,0.0,0.040155561314009935,Low Risk
0.060994,0.016622,0.006068,0.075537,0.42153,0.013719,0.037746,0.45056,2.5625,810.09,0.004919,0.006068,0.007352,0.013719,0.011123,0.1519,0.087759,0.62991,0.016622,0.62991,0.016622,0.016622,0.016622,0.011123,0.18941,0.0,0.011449822642326062,Low Risk
1.15,0.48064,0.10306,0.032842,0.81773,0.16559,0.14308,0.95506,1.915,382.17,0.075598,0.10306,0.096172,0.16559,0.38723,49.686759999999886,0.64196,0.70775,0.15451,0.70775,0.15451,0.15451,0.15451,0.12146,0.24069,0.0,0.009489223033328761,Low Risk
1.2263,0.39141,0.10906,0.073469,0.34749,0.12126,0.12331,0.40448,0.97396,902.39,0.078574,0.10906,0.095948,0.12126,0.31729,0.28464,0.39173,0.6301,0.10668,0.69673,0.10668,0.10668,0.10668,0.087366,0.27234,0.0,0.0051798449083549376,Low Risk
0.52646,0.1005,0.050037,0.16882,0.15682,0.045974,0.085877,0.19007,0.72532,1920.3,0.032904,0.050037,0.047928,0.045974,0.084006,0.17076,0.14721,0.58488,0.044036,0.70087,0.044036,0.044036,0.044036,0.030232,0.29913,0.0,0.011505050505050506,Low Risk
1.0841,0.1551,0.0,0.085515,0.0,0.0,-0.037573,-0.11659,26.50011999999998,-3130.6,0.0,0.012137,-0.037573,0.008161,0.019568,0.0,-1.9125,0.15248,-0.025266,0.79272,-0.025266,-0.025266,-0.025266,0.0,0.013211,0.0,0.14787363574201487,Low Risk
14.203,0.0,0.096059,0.07991,0.34202,0.10045,0.1218,0.41874,1.8682,871.66,0.074209,0.36639,0.096526,0.38315,0.086884,0.46218,0.39207,0.6069,0.10094,0.74207,0.10801,0.10094,0.10094,0.077604,0.25746,0.0,0.03296290319252955,Low Risk
1.0512,0.49189,0.095101,0.09018,0.56434,0.15888,0.16595,0.62592,0.61081,583.14,0.14807,0.095101,0.1644,0.15888,0.47229,1.939,0.7553,0.55158,0.27464,0.6309,0.27464,0.27464,0.27464,0.24737,0.36362,0.0,0.028621264454947188,Low Risk
0.70848,0.2505,0.065751,0.15304,0.16925,0.10992,0.073798,0.2085,1.0539,1750.6,0.049621,0.065751,0.063512,0.10992,0.1953,0.3319,0.20144,0.32485,0.10618,0.38949,0.10618,0.10618,0.10618,0.082955,0.52708,0.0,0.003184108527131783,Low Risk
0.13331,0.014043,0.013217,0.88965,0.035665,0.011754,0.046668,0.039113,0.68813,9332.0,0.011679,0.013217,0.015792,0.011754,0.010386,0.046935,0.033631,-0.065423,0.014043,0.57802,0.014043,0.014043,0.014043,0.010386,0.41757,0.0,0.06661130670404168,Low Risk
27.341,0.1551,0.26174,0.023208,1.1493,0.43756,0.27785,1.4066,3.5014,259.5,0.20505,0.27255,0.25587,0.45562,0.0,2.5541,2.4264,0.55747,0.42775,0.76627,0.44375,0.42775,0.42775,0.34279,0.17629,0.0,0.011858450299829973,Low Risk
0.28901,0.1132,0.027869,0.19423,0.10276,0.06946,0.031762,0.12244,0.81967,2981.0,0.010617,0.027869,0.015722,0.06946,0.078304,0.086693,0.07446,0.29252,0.039185,0.41281,0.039185,0.039185,0.039185,0.026461,0.52626,0.0,0.005485606060606061,Low Risk
3.7163,0.1551,0.090323,0.11745,0.15991,0.13859,0.082593,0.22294,0.4964,1637.2,0.044425,0.11171,0.067778,0.17141,-0.056938,0.31479,0.36202,0.075762,0.104,0.68799,0.14129,0.104,0.104,0.068167,0.28727,0.0,0.10610995446730358,Low Risk
0.13551,0.001754,0.013316,0.59121,0.048714,0.012961,0.039157,0.050371,0.53936,7246.3,0.007956,0.013316,0.009244,0.012961,0.000978,0.04047,0.020016,0.24336,0.008997,0.55049,0.008997,0.008997,0.008997,0.007744,0.44951,0.0,0.019549742711542372,Low Risk
0.80304,0.072717,0.076359,0.12044,0.24338,0.10301,0.096539,0.24338,0.48657,1499.7,0.064625,0.076359,0.064625,0.10301,0.072717,0.53645,0.16292,0.30449,0.08718,0.30449,0.08718,0.08718,0.08718,0.08718,0.53511,0.0,0.032285420550286485,Low Risk
5.4257,0.65632,0.4246771999999999,0.011456,2.4242,0.48064,0.58343,2.8521,3.7306,127.98,0.4216051999999999,0.4177123999999998,0.4641939999999996,0.48064,0.56657,1.8134,2.9633,0.79415,0.47728,0.82267,0.47728,0.47728,0.47728,0.39616,0.16106,0.0,0.004706451612903225,Low Risk
0.79576,0.23043,0.073425,0.034651,0.80145,0.086357,0.11033,0.91883,2.2739,397.25,0.055734,0.073425,0.069828,0.086357,0.18359,0.37203,0.58151,0.73982,0.082127,0.73982,0.082127,0.082127,0.082127,0.06555,0.14123,0.0,0.0,
